基金代码,基金链接,基金名称,日期,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
050026,http://fund.eastmoney.com/050026.html,博时医疗保健行业混合A,03-16,1.31%,1.46%,-22.71%,-1.90%,2.08%,58.50%,147.77%,145.10%,-7.75%,334.31%
000126,http://fund.eastmoney.com/000126.html,招商安润混合,03-16,0.98%,4.47%,-16.41%,2.59%,15.62%,72.09%,146.90%,149.53%,-5.74%,245.77%
000727,http://fund.eastmoney.com/000727.html,融通健康产业灵活配置混合A/B,03-16,2.72%,0.35%,-7.09%,0.86%,-2.21%,58.22%,146.86%,165.63%,4.47%,182.90%
002190,http://fund.eastmoney.com/002190.html,农银新能源主题,03-16,0.93%,1.70%,-18.54%,-2.69%,21.88%,114.15%,146.73%,100.31%,-15.34%,136.12%
000939,http://fund.eastmoney.com/000939.html,中银研究精选灵活配置混合,03-16,0.76%,1.73%,-22.52%,-3.05%,11.33%,76.38%,146.53%,139.72%,-8.41%,112.70%
003096,http://fund.eastmoney.com/003096.html,中欧医疗健康混合C,03-16,0.95%,3.04%,-23.90%,-2.37%,11.84%,68.25%,146.39%,159.12%,-8.74%,228.82%
002446,http://fund.eastmoney.com/002446.html,广发利鑫灵活配置混合A,03-16,-0.44%,-0.11%,-12.54%,1.24%,10.26%,83.04%,146.17%,151.68%,-2.95%,169.80%
004868,http://fund.eastmoney.com/004868.html,交银股息优化混合,03-16,1.80%,3.39%,-14.29%,1.69%,23.49%,108.88%,145.02%,144.01%,-3.36%,167.80%
002249,http://fund.eastmoney.com/002249.html,招商境远灵活配置混合,03-16,1.36%,2.64%,-13.95%,7.10%,14.94%,81.84%,144.00%,139.96%,-0.45%,145.07%
004424,http://fund.eastmoney.com/004424.html,汇添富文体娱乐混合,03-16,1.96%,3.70%,-18.29%,2.66%,11.58%,83.52%,143.70%,---,-2.93%,167.09%
005671,http://fund.eastmoney.com/005671.html,前海联合研究优选混合A,03-16,0.98%,3.21%,-22.92%,-0.05%,14.10%,87.83%,142.83%,---,-7.08%,146.20%
001702,http://fund.eastmoney.com/001702.html,东方创新科技混合,03-16,-0.37%,-0.27%,-16.90%,-2.70%,12.07%,64.23%,142.25%,102.85%,-12.03%,93.92%
001716,http://fund.eastmoney.com/001716.html,工银新趋势灵活配置混合A,03-16,0.79%,0.86%,-13.74%,6.18%,26.76%,98.85%,141.93%,130.17%,-3.13%,193.70%
001815,http://fund.eastmoney.com/001815.html,华泰柏瑞激励动力混合A,03-16,1.15%,0.16%,-21.43%,8.35%,15.80%,81.18%,141.02%,152.05%,-1.31%,231.95%
001667,http://fund.eastmoney.com/001667.html,南方转型混合,03-16,0.43%,1.59%,-9.54%,5.11%,14.98%,84.08%,140.57%,112.89%,0.49%,85.00%
001538,http://fund.eastmoney.com/001538.html,上投摩根科技前沿灵活配置混合,03-16,0.78%,2.04%,-18.85%,4.07%,14.47%,80.36%,140.22%,150.14%,-6.37%,178.66%
001102,http://fund.eastmoney.com/001102.html,前海开源国家比较优势混合,03-16,0.38%,1.21%,-22.66%,5.15%,24.01%,97.63%,140.00%,154.29%,-4.90%,267.20%
450004,http://fund.eastmoney.com/450004.html,国富深化价值混合,03-16,0.82%,3.15%,-14.22%,10.64%,25.94%,92.07%,139.75%,123.93%,3.35%,292.41%
005760,http://fund.eastmoney.com/005760.html,富国周期优势混合A,03-16,1.09%,2.11%,-10.80%,7.58%,15.26%,71.56%,139.73%,---,2.09%,174.37%
005743,http://fund.eastmoney.com/005743.html,长安裕隆混合A,03-16,0.25%,2.37%,-21.83%,3.41%,24.09%,72.46%,139.38%,---,-8.16%,194.36%
519002,http://fund.eastmoney.com/519002.html,华安安信消费混合,03-16,0.28%,2.62%,-7.59%,2.33%,7.69%,71.05%,139.16%,156.52%,-3.27%,340.79%
005672,http://fund.eastmoney.com/005672.html,前海联合研究优选混合C,03-16,0.97%,3.20%,-22.98%,-0.25%,13.66%,86.35%,138.95%,---,-7.24%,141.01%
001997,http://fund.eastmoney.com/001997.html,工银新趋势灵活配置混合C,03-16,0.77%,0.81%,-13.80%,6.03%,26.35%,97.48%,138.94%,125.58%,-3.28%,174.30%
002082,http://fund.eastmoney.com/002082.html,华泰柏瑞激励动力混合C,03-16,1.18%,0.14%,-21.44%,8.27%,15.67%,80.77%,138.90%,148.64%,-1.32%,264.29%
001069,http://fund.eastmoney.com/001069.html,华泰柏瑞消费成长混合,03-16,1.19%,1.95%,-20.38%,3.31%,5.57%,56.51%,138.71%,134.99%,-5.64%,155.90%
005744,http://fund.eastmoney.com/005744.html,长安裕隆混合C,03-16,0.25%,2.36%,-21.87%,3.29%,23.79%,71.61%,138.54%,---,-8.25%,191.38%
005233,http://fund.eastmoney.com/005233.html,广发睿毅领先混合,03-16,-0.31%,4.56%,7.98%,21.16%,27.57%,77.98%,137.30%,142.91%,18.13%,154.55%
519126,http://fund.eastmoney.com/519126.html,浦银安盛新经济结构混合,03-16,0.40%,4.45%,-16.15%,11.17%,23.52%,81.92%,137.22%,106.70%,0.18%,174.70%
501064,http://fund.eastmoney.com/501064.html,国泰价值优选灵活配置混合,03-16,0.65%,4.30%,-8.13%,21.17%,29.69%,86.70%,136.73%,---,14.04%,170.53%
750001,http://fund.eastmoney.com/750001.html,安信灵活配置混合,03-16,0.82%,4.31%,-4.78%,13.39%,28.70%,85.54%,136.71%,131.43%,8.86%,317.83%
360016,http://fund.eastmoney.com/360016.html,光大行业轮动混合,03-16,1.03%,2.84%,-20.42%,2.18%,11.78%,66.45%,136.41%,140.46%,-4.31%,387.96%
001875,http://fund.eastmoney.com/001875.html,前海开源沪港深优势精选混合,03-16,1.56%,2.54%,-17.62%,15.28%,26.41%,100.38%,136.41%,204.75%,3.92%,334.27%
005630,http://fund.eastmoney.com/005630.html,华安研究精选混合,03-16,0.80%,3.76%,-23.12%,5.04%,10.98%,66.42%,136.03%,141.61%,-6.47%,141.27%
006736,http://fund.eastmoney.com/006736.html,国投瑞银先进制造混合,03-16,0.89%,-0.13%,-20.97%,-4.89%,14.63%,68.06%,135.37%,---,-14.04%,137.82%
460005,http://fund.eastmoney.com/460005.html,华泰柏瑞价值增长混合A,03-16,1.32%,2.67%,-20.46%,1.75%,0.79%,47.16%,135.35%,120.78%,-6.76%,853.22%
240011,http://fund.eastmoney.com/240011.html,华宝大盘精选混合,03-16,1.28%,3.22%,-21.89%,3.44%,17.96%,88.71%,135.29%,114.21%,-6.34%,350.76%
000977,http://fund.eastmoney.com/000977.html,长城环保主题混合,03-16,1.66%,2.24%,-18.61%,-5.19%,-4.79%,68.07%,135.20%,121.34%,-10.08%,124.00%
